epochs,neuronsPerClass,LR,testClass,result,guessIndex
1,1,0.001,Standup_chair,0.5544554455445545,0
1,1,0.001,Walk,-1,-1
1,1,0.001,Sitdown_chair,0.045454545454545456,4
1,1,0.001,Use_telephone,0.4899135446685879,0
1,1,0.001,Comb_hair,0.0021551724137931034,12
1,1,0.001,Getup_bed,0.06422018348623854,4
1,1,0.001,Eat_soup,0.583554376657825,0
1,1,0.001,Descend_stairs,0.38288288288288286,0
1,1,0.001,Liedown_bed,0.008865248226950355,11
1,1,0.001,Drink_glass,0.10526315789473684,2
1,1,0.001,Eat_meat,0.19984012789768185,2
1,1,0.001,Brush_teeth,0.10943199583116206,2
1,1,0.001,Pour_water,0.05454545454545454,2
1,1,0.001,Climb_stairs,-1,-1
,,,,,
1,1,0.01,Standup_chair,-1,-1
1,1,0.01,Walk,-1,-1
1,1,0.01,Sitdown_chair,-1,-1
1,1,0.01,Use_telephone,-1,-1
1,1,0.01,Comb_hair,0.47198275862068967,1
1,1,0.01,Getup_bed,-1,-1
1,1,0.01,Eat_soup,-1,-1
1,1,0.01,Descend_stairs,0.15765765765765766,1
1,1,0.01,Liedown_bed,-1,-1
1,1,0.01,Drink_glass,-1,-1
1,1,0.01,Eat_meat,-1,-1
1,1,0.01,Brush_teeth,0.9155810317873893,0
1,1,0.01,Pour_water,-1,-1
1,1,0.01,Climb_stairs,-1,-1
,,,,,
1,1,0.1,Standup_chair,-1,-1
1,1,0.1,Walk,-1,-1
1,1,0.1,Sitdown_chair,-1,-1
1,1,0.1,Use_telephone,-1,-1
1,1,0.1,Comb_hair,-1,-1
1,1,0.1,Getup_bed,-1,-1
1,1,0.1,Eat_soup,-1,-1
1,1,0.1,Descend_stairs,-1,-1
1,1,0.1,Liedown_bed,-1,-1
1,1,0.1,Drink_glass,-1,-1
1,1,0.1,Eat_meat,-1,-1
1,1,0.1,Brush_teeth,-1,-1
1,1,0.1,Pour_water,1.0,0
1,1,0.1,Climb_stairs,-1,-1
,,,,,
1,2,0.001,Standup_chair,0.019801980198019802,6
1,2,0.001,Walk,0.06702412868632708,2
1,2,0.001,Sitdown_chair,0.045454545454545456,6
1,2,0.001,Use_telephone,0.547550432276657,0
1,2,0.001,Comb_hair,0.0021551724137931034,11
1,2,0.001,Getup_bed,0.05504587155963303,5
1,2,0.001,Eat_soup,0.19363395225464192,1
