epochs,neuronsPerClass,LR,testClass,result,guessIndex
1,1,0.001,Standup_chair,0.22772277227722773,1
1,1,0.001,Walk,-1,-1
1,1,0.001,Sitdown_chair,0.045454545454545456,4
1,1,0.001,Use_telephone,0.5331412103746398,0
1,1,0.001,Comb_hair,0.004310344827586207,9
1,1,0.001,Getup_bed,0.045871559633027525,6
1,1,0.001,Eat_soup,0.3978779840848806,1
1,1,0.001,Descend_stairs,0.42792792792792794,0
1,1,0.001,Liedown_bed,0.012411347517730497,7
1,1,0.001,Drink_glass,0.12631578947368421,2
1,1,0.001,Eat_meat,0.31654676258992803,1
1,1,0.001,Brush_teeth,0.05419489317352788,5
1,1,0.001,Pour_water,0.045454545454545456,6
1,1,0.001,Climb_stairs,0.016042780748663103,5
,,,,,
1,1,0.01,Standup_chair,0.0594059405940594,3
1,1,0.01,Walk,-1,-1
1,1,0.01,Sitdown_chair,0.045454545454545456,3
1,1,0.01,Use_telephone,0.484149855907781,0
1,1,0.01,Comb_hair,0.04956896551724138,7
1,1,0.01,Getup_bed,0.009174311926605505,10
1,1,0.01,Eat_soup,0.376657824933687,1
1,1,0.01,Descend_stairs,0.45495495495495497,0
1,1,0.01,Liedown_bed,0.015957446808510637,7
1,1,0.01,Drink_glass,0.15789473684210525,2
1,1,0.01,Eat_meat,0.407673860911271,0
1,1,0.01,Brush_teeth,0.20323084940072955,1
1,1,0.01,Pour_water,0.13636363636363635,2
1,1,0.01,Climb_stairs,0.0213903743315508,5
,,,,,
1,1,0.1,Standup_chair,-1,-1
1,1,0.1,Walk,0.05630026809651475,2
1,1,0.1,Sitdown_chair,0.12121212121212122,2
1,1,0.1,Use_telephone,0.2132564841498559,1
1,1,0.1,Comb_hair,0.09698275862068965,3
1,1,0.1,Getup_bed,-1,-1
1,1,0.1,Eat_soup,0.46419098143236076,0
1,1,0.1,Descend_stairs,0.3918918918918919,0
1,1,0.1,Liedown_bed,0.13829787234042554,2
1,1,0.1,Drink_glass,0.21052631578947367,2
1,1,0.1,Eat_meat,0.4708233413269384,0
1,1,0.1,Brush_teeth,0.18603439291297552,2
1,1,0.1,Pour_water,0.3,0
1,1,0.1,Climb_stairs,0.026737967914438502,6
,,,,,
1,2,0.001,Standup_chair,0.06930693069306931,3
1,2,0.001,Walk,0.002680965147453083,6
1,2,0.001,Sitdown_chair,0.09090909090909091,4
1,2,0.001,Use_telephone,0.5360230547550432,0
1,2,0.001,Comb_hair,0.004310344827586207,11
1,2,0.001,Getup_bed,0.1743119266055046,1
1,2,0.001,Eat_soup,0.33687002652519893,1
1,2,0.001,Descend_stairs,0.45045045045045046,0
1,2,0.001,Liedown_bed,0.024822695035460994,7
1,2,0.001,Drink_glass,0.10526315789473684,2
1,2,0.001,Eat_meat,0.3932853717026379,0
1,2,0.001,Brush_teeth,0.05106826472120896,5
1,2,0.001,Pour_water,0.045454545454545456,7
1,2,0.001,Climb_stairs,0.0374331550802139,4
,,,,,
1,2,0.01,Standup_chair,0.019801980198019802,4
1,2,0.01,Walk,0.005361930294906166,4
1,2,0.01,Sitdown_chair,0.09090909090909091,4
1,2,0.01,Use_telephone,0.5014409221902018,0
1,2,0.01,Comb_hair,0.03017241379310345,9
1,2,0.01,Getup_bed,0.027522935779816515,9
1,2,0.01,Eat_soup,0.3183023872679045,1
1,2,0.01,Descend_stairs,0.47297297297297297,0
1,2,0.01,Liedown_bed,0.024822695035460994,7
1,2,0.01,Drink_glass,0.12631578947368421,2
1,2,0.01,Eat_meat,0.37410071942446044,0
1,2,0.01,Brush_teeth,0.11412193850964043,4
1,2,0.01,Pour_water,0.03636363636363636,5
1,2,0.01,Climb_stairs,0.0427807486631016,4
,,,,,
1,2,0.1,Standup_chair,0.009900990099009901,5
1,2,0.1,Walk,0.032171581769437,5
